id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,البهلوان,في كل ليلة، إذا أحد جيرانك الأحياء الطيبين مسمم أو مخمور، تموت أنت.,,إذا أحد الجيران الأحياء الطيبين مسمم أو مخمور، يموت البهلوان.,,ميت
alchemist,الكيميائي,تمتلك ميزة أحد الأشرار الذين لايتواجدون في اللعبة.,أرسل للكيميائي شخصية شرير غير متواجد في اللعبة.,,هل الكيميائي,
alhadikhia,الحديقة,في كل ليلة، اختار 3 لاعبين، يتم إخبارهم بشكل سري بأن رئيس الأشرار اختارهم، كل لاعب يختار يعيش أو يموت، ولكن إذا كل اللاعبين الثلاثة اختاروا أن يعيشوا ،يموتون كلهم.,,الحديقة يختار 3 لاعبين. أيقظ اللاعب الأول واسأله إذا أراد الموت أو لا، ثم اللاعب الثاني ثم الثالث. إذا جميع اللاعبين الثلاثة رفضوا الموت، يموتون جميعا.,,"1,2,3,اختار الموت,اختار الحياة
"
amnesiac,فاقد الذاكرة,أنت لاتعرف ماهي ميزتك وقدراتك. في كل يوم، تخمن ميزتك وتعرف مدى صحة هذا التخمين.,قرر ماهي ميزة وقدرة فاقد الذاكرة. وإذا احتجت أن توقظ فاقد الذاكرة في الليل، أوقظه وأخبره المعلومة حسب ميزته.,,,?
angel,الملاك,شيء سيء ممكن يحدث للاعب المسؤول عن موت لاعب جديد.,,,,احمي، شيء سيء
apprentice,مبتدئ,في أول ليلة، تحصل على قدرة وميزة شخصية من سكان القرية، أو شخصية من الأشرار.,اختار شخصية للمبتدئ إما من سكان القرية أو من الأشرار وأرسلها له.,,,هل المبتدئ
artist,الرسام,مرة واحدة في اللعبة خلال النهار، اسأل المنظم سريا سؤال يجاوبه بنعم أو لا.,,,,بدون ميزة
assassin,القاتل,مرة واحدة في اللعبة، في الليل، اختار لاعب تقتله، حتى لو كان هذا الاعب محمي من القتل يموت.,,إذا لم يستخدم القاتل ميزته عليه أن يوقظ كل ليلة ويختار إما أن يختار لاعب لقتله أو لا.,,ميت، بدون ميزة
atheist,التايه,المنظم يستطيع كسر قواعد اللعبة، وإذا قتل يفوز الطيبين حتى لو كنت ميت. [لا يوجد أشرار في اللعبة].,,,,
balloonist,عامل المنطاد,في كل ليلة، تعرف نوع شخصية لاعب واحد (سكان القرية، الغرباء، الأشرار، رئيس الأشرار، المسافرين)، حتى تنتهي جميع الأنواع. [+1 غريب],اختار نوع شخصية، أخبره بإسم اللاعب الذي يحمل هذا النوع. ضع علامة تذكير عامل المنطاد بجانب ذبك اللاعب.,اختار نوع شخصية مختلفة عن علامات التذكير الموجودة على تلك الشخصيات، إذا لازال موجود أنواع أخرى، وأخبر عامل المنطاد بها ثم ضع علامة التذكير على ذلك اللاعب.,,شاهد سكان القرية، شاهد الغرباء، شاهد الأشرار، شاهد رئيس الأشرار، شاهد المسافرين.
barber,الحلاق,إذا قتلت في الليل أو النهار يستطيع رئيس الأشرار تبديل شخصية أي لاعبين (ليس من بينهم رئيس الأشرار) حتى لو كان أحدهم ميت.,,إذا مات الحلاق نهارا أو ليلا، أسأل رئيس الأشرار بأن الحلاق مات، هل تريد تغيير شخصية لاعبين، إذا اختار اللاعبين، أخبر كلا منهما على حده وأخبره بشخصيته الجديدة.,,قصة شعر في الليل
barista,الباريستا,في كل ليلة حتى المساء التالي، 1) أحد اللاعبين يصبح سليم ومعافى، أو 2) أحد اللاعبين تصبح ميزته مضاعفة.  وهذا اللاعب يعرف هذه الميزة التي حصل عليها بسبب الباريستا,اختار لاعب وأخبره الميزة التي حصل عليها بسبب الباريستا. تعامل معه على أساس هذه الميزة (سليم/صحي/معلومة صحيحة أو تصبح ميزته مضاعفة),اختار لاعب وأخبره الميزة التي حصل عليها بسبب الباريستا. تعامل معه على أساس هذه الميزة (سليم/صحي/معلومة صحيحة أو تصبح ميزته مضاعفة),,"سليم & صحي,ميزة مضاعفة"
baron,الزعيم,بسبب وجودك لابد من إضافة 2 من الغرباء للعبة دون معرفة اللاعبين [+2 غرباء].,,,,
beggar,Beggar,"You must use a vote token to vote. Dead players may choose to give you theirs. If so, you learn their alignment. You are sober & healthy.",,,,
bishop,Bishop,Only the Storyteller can nominate. At least 1 opposite player must be nominated each day.,,,,"Nominate good,Nominate evil"
bonecollector,Bone Collector,"Once per game, at night, choose a dead player: they regain their ability until dusk.",,"The Bone Collector either shakes their head no or points at any dead player. If they pointed at any dead player, put the Bone Collector's 'Has Ability' reminder by the chosen player's character token. (They may need to be woken tonight to use it.)",,"No ability,Has ability"
boomdandy,Boomdandy,"If you are executed, all but 3 players die. 1 minute later, the player with the most players pointing at them dies.",,,,
bountyhunter,صائد الأشرار,في أول ليلة فقط، تعرف لاعب من الأشرار. وإذا مات هذا اللاعب سنعرف لاعب شرير آخر [1 من سكان القرية يصبح شرير],اختار لاعب من سكان القرية وأخبره أنه أصبح شرير,إذا مات اللاعب الشرير اختار لاعب شرير آخر,,معروف
buddhist,Buddhist,"For the first 2 minutes of each day, veteran players may not talk.",,,,
bureaucrat,Bureaucrat,"Each night, choose a player (not yourself): their vote counts as 3 votes tomorrow.",The Bureaucrat points to a player. Put the Bureaucrat's '3 votes' reminder by the chosen player's character token.,The Bureaucrat points to a player. Put the Bureaucrat's '3 votes' reminder by the chosen player's character token.,,3 votes
butcher,Butcher,"Each day, after the 1st execution, you may nominate again.",,,,
butler,كبير الخدم,في كل ليلة، اختار لاعب إذا صوت هذا اللاعب فقط عندها يمكنك التصويت.,كبير الخدم يختار لاعب، ضع عليه علامة ""متبوع"".,كبير الخدم يختار لاعب، ضع عليه علامة ""متبوع"".,,متبوع
cannibal,آكل لحوم البشر,يصبح لديك ميزة آخر لاعب مُعدم، وإذا كان هذا اللاعب من الأشرار تصبح مسمم إلى أن يعدم لاعب من الطيبين,,,,"مسمم,مات اليوم"
cerenovus,المنرفز,في كل ليلة تختار لاعب وشخصية من الطيبين ، في اليوم التالي هذا اللاعب يجب أن يصبح غضبان بهذه الشخصية وإذا لم يظهر غضبه ربما يقتله المنظم,المنرفز يختار لاعب وشخصية من الطيبين، أخبر ذلك اللاعب بالشخصية وأنه اختير من المنرفز ليكون هذه الشخصية، في اليوم التالي إذا لم يظهر غضبه يقتل,المنرفز يختار لاعب وشخصية من الطيبين، أخبر ذلك اللاعب بالشخصية وأنه اختير من المنرفز ليكون هذه الشخصية، في اليوم التالي إذا لم يظهر غضبه يقتل,,غضبان
chambermaid,الخادمة,في كل ليلة، اختار لاعبين غيرك والمنظم يخبرك كم لاعب منهما استيقظ في الليل نتيجة ميزة له,"الخادمة تشير إلى لاعبَين فتخبره عدد (0, 1, 2) من هؤلاء اللاعبَين الذين استيقظوا في الليل","الخادمة تشير إلى لاعبَين فتخبره عدد (0, 1, 2) من هؤلاء اللاعبَين الذين استيقظوا في الليل",,
chef,الطباخ,في أول ليلة فقط، المنظم يخبرك كم شرير يجلسان بجانب بعضهما.,"أخبره عدد (0,1,2) زوج متجاورين من الأشرار يجلسان بجانب بعضهما.",,,
choirboy,Choirboy,"If the Demon kills the King, you learn which player is the Demon. [+ the King]",,"If the King was killed by the Demon, wake the Choirboy and point to the Demon player.",,
clockmaker,مصلح الساعات,في أول ليلة فقط، المنظم يخبرك كم يبعد رئيس الأشرار عن أقرب شرير آخر.,"أخبره كم يبعد رئيس الأشرار عن أقرب شرير آخر برقم (1, 2, 3, الخ).",,,
courtier,الحاشية,مرة واحدة في اللعبة، اختار شخصية فيصبح ذلك اللاعب مخمور ل 3 ليالي 3 أيام,الحاشية إما يختار شخصية أو يؤجل الاختيار. إذا اختار شخصية وهذه الشخصية موجودة في اللعبة يصبح ذلك اللاعب مخمور,خفض عدد الأيام للاعب المخمور. وإذا لم يستخدم الحاشية ميزته إسأله إما يختار شخصية أو يؤجل الاختيار. إذا اختار شخصية وهذه الشخصية موجودة في اللعبة يصبح ذلك اللاعب مخمور,,"مخمور3,مخمور2,مخمور1,بدون ميزة"
