id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Akrobat,"Jede Nacht*, wenn einer deiner guten lebenden Nachbarn vergiftet oder betrunken ist, stirbst du.",,"Der Akrobat stirbt wenn ein guter, lebender Nachbar betrunken ist oder vergiftet wurde.",,Tot
alchemist,Alchemist,"Du hast die Fähigkeit eines Untergebenen, der nicht im Spiel ist.","Zeige dem Alchemisten den Spielstein eines Untergebenen, der sich nicht im Spiel befindet",,Ist der Alchimist,
alhadikhia,Al-Hadikhia,"Jede Nacht*, wähle 3 Spieler (alle Spieler erfahren, wer): jeder wählt leise, ob er leben oder sterben möchte, aber wenn alle leben, sterben alle.",,"Der Al-Hadikhia wählt 3 Spieler. Wecke nacheinander alle drei Spieler und frage sie ob sie leben (nicken) oder sterben wollen (Kopfschütteln). Wählen alle drei Spieler das Leben, sterben alle drei.",,"1,2,3,Wähle Leben,Wähle Tod"
amnesiac,Amnesiker,"Du kennst deine Fähigkeit nicht. Jeden Tag, versuche, sie privat zu erraten: du erfährst, wie richtig du liegst.",Suche eine Fähigkeit des Amnestikers aus. Wenn die Fähigkeit in der Nacht aktiv ist: Wecke den Amnestiker und spiele seine Fähigkeit.,Wenn die Fähigkeit in der Nacht aktiv ist: Wecke den Amnestiker und spiele seine Fähigkeit.,,?
angel,Engel,"Etwas Schlechtes kann dem Spieler widerfahren, der für den Tod eines unerfahrenen Spielers verantwortlich ist.",,,,"Protect,Something Bad"
apprentice,Lehrling,In deiner ersten Nacht bekommst Du die Fähigkeit eines Dorfbewohners oder eines Untergebenen.,"Zeige dem Lehrling zuerst die ""Du bist"" Karte und dann die Karte eines Dorfbewohners oder eines Untergebenen. Im Grimoire, ersetze die Karte des Lehrlings mit der Karte des Charakters und lege den ""Ist der Lehrling"" reminders auf die Karte des Charakters.",,,Ist der Lehrling
artist,Künstlerin,"Einmal pro Spiel, am Tag, stelle dem Erzähler privat 1 beliebge Ja/Nein-Frage.",,,,Keine Fähigkeit
assassin,Assassine,"Einmal pro Spiel, in der Nacht*, wähle 1 Spieler: der Spieler stirbt, auch wenn er eigentlich aus irgendeinem Grund überleben sollte.",,Hat der Assassine seine Fähigkeit noch nicht verwendet: Der Assassnie zeigt entweder ein 'Nein' Signal mit dem Kopf oder zeigt auf einen Spieler. Dieser Spieler stirbt.,,"Keine Fähigkeit,Tot"
atheist,Atheist,"Der Erzähler kann die Spielregeln brechen & wenn er hingerichtet wird, gewinnt das gute Team, sogar wenn du tot bist. [Keine böse Spieler]",,,,
balloonist,Ballonfahrer,"Du erfährst jede Nacht 1 Spieler eines anderen Charaktertyps, bis keine übrig bleiben. [+1 Außenseiter]",Wähle eine Charakterklasse. Zeige auf einen Spieler dessen Charakter dieser Klasse entspricht. Platziere den ""Gesehen"" Reminder neben den Charakter.,Wähle eine Charakterklasse neben dem noch kein ""Gesehen"" reminder liegt. Zeige auf einen Spieler dessen Charakter dieser Klasse entspricht. Platziere den ""Gesehen"" Reminder neben den Charakter.,,"Dorfbewohner gesehen,Dämon gesehen,Reisender gesehen,Untergebener gesehen"
barber,Friseur,"Wenn du am Tag oder diese Nacht gestorben bist, kann der Dämon 2 Spieler wählen (nicht einen anderen Dämon), welche Charaktere tauschen.",,Wenn der Friseur heute gestorben ist: Wecke den Dämon. Zeige ihm die ""Dieser Charakter wählte dich aus"" Karte und dann die Karte des Friseurs. Der Dämon zeigt entweder ein ""Nein"" Signal mit dem Kopf oder zeigt auf zwei Spieler. Wenn er Spieler gewählt hat: Tausche die Charakterkarten. Wecke die Spieler. Zeige Ihnen: ""Du bist' und danach ihren neuen Charakter.,,Heute gibt's Haarschnitte
