id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,بندباز,هر شب*، اگر هرکدام از همسایه‌های شما مست یا مسموم باشند، می‌میرید.,,اگر همسایه خوب زنده بندباز مست یا مسموم باشد، بندباز می‌میرد.,,مرده
alchemist,کیمیاگر,شما دارای قدرت یکی از مریدانی که در بازی نیست هستید.,به کیمیاگر،‌ نشانه یکی از مریدانی که در بازی نیستند را نشان دهید,,کیمیاگر,
alhadikhia,الحدیقه,هرشب* ۳ نفر را انتخاب کن (همه می‌فهمند چه کسانی انتخاب شده‌اند): هرکدام بی‌صدا انتخاب می‌کنند که می‌خواهند زنده بمانند یا بمیرند، ولی اگر همگی زندگی را انتخاب‌کنند، همگی می‌میرند.,,"The Al-Hadikhia chooses 3 players. Announce the first player, wake them to nod yes to live or shake head no to die, kill or resurrect accordingly, then put to sleep and announce the next player. If all 3 are alive after this, all 3 die.",,"۱,۲,۳,زندگی,مرگ"
amnesiac,فراموشگر,شما قابلیت خود را نمی‌دانید. هر روز، خصوصی آن را حدس بزنید. شما می‌فهمید چه‌قدر نزدیک هستید.,Decide the Amnesiac's entire ability. If the Amnesiac's ability causes them to wake tonight: Wake the Amnesiac and run their ability.,If the Amnesiac's ability causes them to wake tonight: Wake the Amnesiac and run their ability.,,؟
angel,فرشته,ممکن است برای کسی که باعث اصلی مرگ بازیکن جدید است اتفاق بدی بیفتد.,,,,
apprentice,کارآموز,در شب اول، شما قابلیت یک شهروند (اگر خوب هستید)، یا یک میرد (اگر بد هستید) را به دست می‌آورید.,"Show the Apprentice the 'You are' card, then a Townsfolk or Minion token. In the Grimoire, replace the Apprentice token with that character token, and put the Apprentice's 'Is the Apprentice' reminder by that character token.",,,کارآموز
artist,هنرمند,یکبار در بازی، از داستان‌سرا به صورت خصوصی یک سوال بله/خیر بپرسید.,,,,بدون قابلیت
assassin,آدم‌کش,یک بار در بازی، در شب*، یک بازیکن را انتخاب کن. آن بازیکن می‌میرد حتی اگر به دلیلی نتواند بمیرد.,,"If the Assassin has not yet used their ability: The Assassin either shows the 'no' head signal, or points to a player. That player dies.",,"مرده,بدون قابلیت"
atheist,بی‌خدا,داستان‌سرا می‌تواند قوانین بازی را بشکند و اگر اعدام شود، تیم خوب برنده می‌شود (بدون شخصیت بد),,,,
balloonist,بالن‌سوار,"Each night, you learn 1 player of each character type, until there are no more types to learn. [+1 Outsider]",Choose a character type. Point to a player whose character is of that type. Place the Balloonist's Seen reminder next to that character.,"Choose a character type that does not yet have a Seen reminder next to a character of that type. Point to a player whose character is of that type, if there are any. Place the Balloonist's Seen reminder next to that character.",,"Seen Townsfolk,Seen Outsider,Seen Minion,Seen Demon,Seen Traveller"
barber,آرایشگر,اگر امروز یا امشب مرده باشید، شیطان می‌تواند ۲ بازیکن را (که شیطان نیستند) انتخاب کند تا نقش‌هایشان تعویض شود,,"If the Barber died today: Wake the Demon. Show the 'This character selected you' card, then Barber token. The Demon either shows a 'no' head signal, or points to 2 players. If they chose players: Swap the character tokens. Wake each player. Show 'You are', then their new character token.",,شب سلمونی
barista,قهوه‌چی,"Each night, until dusk, 1) a player becomes sober, healthy and gets true info, or 2) their ability works twice. They learn which.","Choose a player, wake them and tell them which Barista power is affecting them. Treat them accordingly (sober/healthy/true info or activate their ability twice).","Choose a player, wake them and tell them which Barista power is affecting them. Treat them accordingly (sober/healthy/true info or activate their ability twice).",,"Sober & Healthy,Ability twice"
baron,بارُن,There are extra Outsiders in play. [+2 Outsiders],,,,
beggar,گدا,"You must use a vote token to vote. Dead players may choose to give you theirs. If so, you learn their alignment.",,,,
bishop,اسقف,فقط داستان‌سرا می‌تواند فردی را کاندید کند. حداقل ۱ نفر از هر تیم باید هر روز کاندید شود.,,,,"کاندید خوب,کاندید بد"
bonecollector,فسیل‌شناس,یک بار دربازی، در شب، یک بازیکن مرده را انتخاب کنید. او قابلیتش را تا غروب دوباره به دست می‌آورد.,,"The Bone Collector either shakes their head no or points at any dead player. If they pointed at any dead player, put the Bone Collector's 'Has Ability' reminder by the chosen player's character token. (They may need to be woken tonight to use it.)",,"بدون قابلیت,دارای قابلیت"
boomdandy,انتحاری,اگر اعدام شوید،‌همه بجز ۳ نفر می‌میرند. ۱ دقیقه بعد، بازیکنی که بیشتر تعداد به او اشاره کرده‌اند می‌میرد.,,,,
bountyhunter,جایزه جو,"You start knowing 1 evil player. If the player you know dies, you learn another evil player tonight. [1 Townsfolk is evil]",Point to 1 evil player. Wake the townsfolk who is evil and show them the 'You are' card and the thumbs down evil sign.,"If the known evil player has died, point to another evil player. ",,Known
buddhist,بودایی,در ۲ دقیقه اول هر روز، بازیکنان حرفه‌ای حق حرف‌زدن ندارند.,,,,
bureaucrat,بوروکرات,هر شب، بازیکنی را (جز خودت) انتخاب کن: فردا رای او ۳ رای شمرده می‌شود.,The Bureaucrat points to a player. Put the Bureaucrat's '3 votes' reminder by the chosen player's character token.,The Bureaucrat points to a player. Put the Bureaucrat's '3 votes' reminder by the chosen player's character token.,,۳ رای
butcher,قصاب,هر روز، بعد از اولین اعدام، شما می‌توانید دوباره فردی را کاندید کنید.,,,,
butler,ساقی,هر شب، بازیکنی را (بجز خودت) انتخاب کن: فردا، فقط در صورتی که او رای دهد می‌توانید رای دهید.,The Butler points to a player. Mark that player as 'Master'.,The Butler points to a player. Mark that player as 'Master'.,,ارباب
cannibal,آدمخوار,شما قابلیت فرد تازه اعدام شده را دارید. اگر او بد باشد، شما تا وقتی بازیکن خوبی اعدام شود مسموم هستید.,,,,"مسموم,امروز مرد"
cerenovus,روانکاو,"Each night, choose a player & a good character: they are “mad” they are this character tomorrow, or might be executed.","The Cerenovus points to a player, then to a character on their sheet. Wake that player. Show the 'This character selected you' card, then the Cerenovus token. Show the selected character token. If the player is not mad about being that character tomorrow, they can be executed.","The Cerenovus points to a player, then to a character on their sheet. Wake that player. Show the 'This character selected you' card, then the Cerenovus token. Show the selected character token. If the player is not mad about being that character tomorrow, they can be executed.",,دیوانه
chambermaid,خدمتکار,هر شب، ۲ بازیکن زنده (بجز خودتان) را انتخاب کنید: شما می‌فهمید چند نفر از آنها امشب به خاطر قابلیتشان بیدار شده‌اند.,"The Chambermaid points to two players. Show the number signal (0, 1, 2, …) for how many of those players wake tonight for their ability.","The Chambermaid points to two players. Show the number signal (0, 1, 2, …) for how many of those players wake tonight for their ability.",,
