id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Acrobat,"Bawat gabi*, kapag ang isa sa iyong mabuting buhay na katabi ay lasing o nilason, ikaw ay mamamatay.",,"If a good living neighbour is drunk or poisoned, the Acrobat player dies.",,Dead
alchemist,Alchemist,Mayroon kang isang Minion ability na wala sa laro.,Show the Alchemist a not-in-play Minion token,,Is the Alchemist,
alhadikhia,Al-Hadikhia,"Bawat gabi*, pumili ng 3 tao (alam ng lahat sino). Bawat tao ay pipili ng tahimik kung mabubuhay o mamamatay. Pero kung lahat ay buhay, lahat ay mamamatay.",,"The Al-Hadikhia chooses 3 players. Announce the first player, wake them to nod yes to live or shake head no to die, kill or resurrect accordingly, then put to sleep and announce the next player. If all 3 are alive after this, all 3 die.",,"1,2,3,Chose death,Chose life"
amnesiac,Amnesiac,"Hindi mo alam ang iyong ability. Bawat araw, hulaan mo ito sa pribado: malalaman mo kung gaano ka katama.",Decide the Amnesiac's entire ability. If the Amnesiac's ability causes them to wake tonight: Wake the Amnesiac and run their ability.,If the Amnesiac's ability causes them to wake tonight: Wake the Amnesiac and run their ability.,,?
angel,Angel,Something bad might happen to whoever is most responsible for the death of a new player.,,,,"Protect,Something Bad"
apprentice,Apprentice,"Sa una mong gabi, mayroon kang Townsfolk ability (kung Mabuti), o Minion ability (kung Masama)","Show the Apprentice the 'You are' card, then a Townsfolk or Minion token. In the Grimoire, replace the Apprentice token with that character token, and put the Apprentice's 'Is the Apprentice' reminder by that character token.",,,Is the Apprentice
artist,Artist,"Isang beses sa laro, sa araw, tanungin mo ang mananalaysay kahit anong tanong na may kasagutang oo/hindi.",,,,No ability
assassin,Assassin,"Isang beses sa laro, sa gabi*, pumili ng tao: sila’y mamamatay kahit na may dahilan sila’y hindi dapat mamamatay.",,"If the Assassin has not yet used their ability: The Assassin either shows the 'no' head signal, or points to a player. That player dies.",,"Dead,No ability"
atheist,Atheist,"Ang mananalaysay ay maaaring mangdaya at kung siya ay bitayin, ang Mabuti ay panalo, kahit ikaw ay patay. [Walang Masamang karakter]",,,,
balloonist,Balloonist,"Bawat gabi, may malalaman kang isang tao ng bawat uri ng karakter hanggang wala nang uring matututunan. [+1 Outsider]",Choose a character type. Point to a player whose character is of that type. Place the Balloonist's Seen reminder next to that character.,"Choose a character type that does not yet have a Seen reminder next to a character of that type. Point to a player whose character is of that type, if there are any. Place the Balloonist's Seen reminder next to that character.",,"Seen Demon,Seen Minion,Seen Outsider,Seen Townsfolk,Seen Traveller"
barber,Barber,"Kapag ikaw ay namatay ngayong araw o gabi, ang Demon ay maaaring pumili ng 2 tao (hindi ibang Demon) na magpapalit ng karakter.",,"If the Barber died today: Wake the Demon. Show the 'This character selected you' card, then Barber token. The Demon either shows a 'no' head signal, or points to 2 players. If they chose players: Swap the character tokens. Wake each player. Show 'You are', then their new character token.",,Haircuts tonight
barista,Barista,"Bawat gabi hanggang takipsilim, 1) Isang tao ay magiging hindi lasing, malusog, at makakakuha ng totoong impormasyon o 2) Dalawang beses gagana ang kanilang ability. Alam nila alin.","Choose a player, wake them and tell them which Barista power is affecting them. Treat them accordingly (sober/healthy/true info or activate their ability twice).","Choose a player, wake them and tell them which Barista power is affecting them. Treat them accordingly (sober/healthy/true info or activate their ability twice).",,"Ability twice,Sober & Healthy"
baron,Baron,Mayroong dagdag na Outsider sa laro [+2 Outsiders],,,,
beggar,Beggar,"Kailangan mo ng vote token para bumoto. Maaaring ibigay ng mga patay na tao ang kailang token sa iyo. Kung ganoon, matututunan mo ang kanilang alignment.",,,,
bishop,Bishop,Ang mananalaysay lamang ang maaaring magnominate. Hindi kukulang sa 1 tao na kabaligtaran ng iyong aligmnent ang ma-nominate bawat araw.,,,,"Nominate evil,Nominate good"
bonecollector,Bone Collector,"Isang beses sa laro, sa gabi, pumili ng isang patay na tao: magagamit muli ang abilitiy nila hanggang takipsilim.",,"The Bone Collector either shakes their head no or points at any dead player. If they pointed at any dead player, put the Bone Collector's 'Has Ability' reminder by the chosen player's character token. (They may need to be woken tonight to use it.)",,"Has ability,No ability"
boomdandy,Boomdandy,"Kapag ikaw ay nabitay, lahat maliban sa 3 tao ay mamamatay. 1 minuto mamaya, ang taong may pinakamaraming taong nakaturo sa kanya ay mamamatay.",,,,
bountyhunter,Bounty Hunter,"Magsisimula ka na may kilalang 1 Masamang tao. Kapag namatay sila, may makikilala kang bagong Masamang tao. [1 Townsfolk ay Masama]",Point to 1 evil player. Wake the townsfolk who is evil and show them the 'You are' card and the thumbs down evil sign.,"If the known evil player has died, point to another evil player.",,Known
buddhist,Buddhist,"For the first 2 minutes of each day, veteran players may not talk.",,,,
