id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Acrobate,"Chaque nuit*, si un de vos voisins « bon » vivant est ivre ou empoisonné, vous mourrez.",,"Si l'un des voisins « bon » est ivre ou empoisonné, l'acrobate meurt.",,Mort
alchemist,Alchimiste,Vous avez le pouvoir d'un Sbire qui n'est pas en jeu.,Montrez a l'Alchimiste un jeton de Sbire qui n'est pas en jeu,,Est l'Alchimiste,
alhadikhia,Al-Hadikhia,"Chaque nuit*, vous choisissez 3 joueurs (tous les joueurs apprennent de qui il s'agit) et chacun d'eux choisit individuellement de vivre ou mourir. Si tous choisissent de vivrent, alors ils meurent tous.",,"L'Al-Hadikhia choisit 3 joueurs. Announce the first player, wake them to nod yes to live or shake head no to die, kill or resurrect accordingly, then put to sleep and announce the next player. If all 3 are alive after this, all 3 die.",,"1,2,3,Souhaite mourir,Souhaite vivre"
amnesiac,Amnesique,"Vous ne connaissez pas votre capacité. Chaque jour, tentez de la deviner en privé : vous apprenez à quel point vous êtes précis.",Décidez de la capacité de l'Amnésique. Si sa capacité l'amène à se réveiller la nuit : réveillez l'amnésique et activez sa capacité.,Si la capacité de l'Amnésique l'amène à se réveiller la nuit: Réveillez l'amnésique et activer sa capacité.,,?
angel,Ange,Quelque chose de grave peut arriver à celui qui est le plus responsable de la mort d'un nouveau joueur.,,,,"Protect,Something Bad"
apprentice,Apprenti,"Votre première nuit, vous gagnez une capacité de Villageois si « bon » ou de Sbire si maléfique.","Montrez-lui la carte violette « Vous êtes », puis un jeton Villageois ou Sbire.",,,Apprenti
artist,Artiste,"Une fois par partie, pendant la journée, posez une question en privé au Conteur pour recevoir une réponse affirmative ou négative.",,,,Inactif
assassin,Assassin,"Une fois par partie, pendant la nuit*, choisissez un joueur: il meurt, même si pour une raison quelconque, il ne le pourrait pas.",,"Si l'Assassin n'a pas encore utilisé sa capacité il décide s’il l'utilise. Si oui, il désigne un joueur. Ce joueur meurt (sans restriction).",,"Inactif,Mort"
atheist,Athée,"Le Conteur peut ignorer les règles du jeu. Si vous êtes exécuté, le Bien gagne, même si vous êtes mort. [Pas de personnage Maléfique]",,,,
balloonist,Aéronaute,"Chaque nuit, vous apprenez 1 joueur de chaque type, jusqu'à ce qu'il n'y ait plus de types à découvrir [+1 Étranger].",Choisissez un type de rôle. Pointez un joueur dont le rôle est de ce type. Placez le rappel « Vu » de l'Aéronaute sous ce rôle.,Choisissez un type de rôle que vous n'avez pas encore choisi. Pointez un joueur dont le rôle est de ce type. Placez le rappel « Vu » de l'Aéronaute sous ce rôle.,,"Vu Démon,Vu Sbire,Vu Villageois,Vu Voyageur,Vu Étranger"
