id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Akrobata,"Minden éjjel*, ha valamelyik jó szomszédod részeg vagy mérgezett, meghalsz.",,"Ha egy jó élő szomszéd részeg vagy mérgezett, az akrobata játékos meghal.",,Halott
alchemist,Alkimista,Van egy nem játékban lévő Minion képességed.,Mutass az Alkimistának egy nem játékban lévő Minion képességet.,,Az Alkimista,
alhadikhia,Al-Hadikhia,"Minden éjjel* válassz ki 3 játékost (minden játékos megtudja, hogy kit): mindegyikük csendben eldönti, hogy él vagy meghal, de ha mindannyian élnek, mindannyian meghalnak.",,"Az Al-Hadikhia 3 játékost választ. Bejelenti az első játékost, felébreszti, hogy bólintson igennel az élethez, vagy rázza a fejét nemmel a halálhoz, ennek megfelelően megöli vagy feltámasztja, majd elaltatja, és bejelenti a következő játékost. Ha ezek után mind a 3 játékos életben van, mind a 3 meghal.",,"1,2,3, Válassz halált, Válassz életet"
amnesiac,Amnéziás,"Nem tudod, hogy mi a képességed. Minden nap, titokban kitalálod, hogy mi az: megtudod, hogy mennyire vagy pontos.","Döntsd el az Amnéziás teljes képességét. Ha az Amnéziás képessége miatt ma este felébred: Ébreszd fel az Amnéziásat, és aktiváljátok a képességét.","Ha az Amnéziás képessége miatt ma este felébred: Ébreszd fel az Amnéziásat, és aktiváljátok a képességét.",,?
angel,Angyal,"Valami rossz történhet azzal, aki a leginkább felelős egy új játékos haláláért.",,,,"Védelem, Valami rossz"
apprentice,Tanonc,"Az 1. éjszakádon kapsz egy Városlakó képességet (ha jó vagy), vagy egy Minion képességet (ha gonosz).","Mutasd fel a Tanoncnak a ""Te vagy"" kártyát, majd egy Városlakó vagy Minion jelölőt. A Grimoár-ban cseréljétek le a Tanonc jelzőt erre a karakterjelzőre, és tegyétek a Tanonc 'Te vagy a Tanonc' emlékeztetőjét a karakterjelző mellé.",,,Te vagy a Tanonc
artist,Művész,"A játékban egyszer, napközben, privátban tegyél fel a Mesélőnek egy igen/nem kérdést.",,,,Nincs képesség
assassin,Orgyilkos,"A játékban egyszer, éjszaka*, válassz egy játékost: meghal még akkor is, ha valamilyen okból nem tudna.",,"Ha az Orgyilkos még nem használta a képességét: az Orgyilkos vagy 'nem'-et jelez a fejével, vagy egy játékosra mutat. Az a játékos meghal.",,"Halott, Nincs képesség"
atheist,Ateista,"A Mesélő megszegheti a játékszabályokat & ha kivégzik, a jó nyer, még akkor is, ha halott vagy [Nincs gonosz karakter]",,,,
balloonist,Lufiművész,"Each night, you learn 1 player of each character type, until there are no more types to learn. [+1 Outsider]",Choose a character type. Point to a player whose character is of that type. Place the Balloonist's Seen reminder next to that character.,"Choose a character type that does not yet have a Seen reminder next to a character of that type. Point to a player whose character is of that type, if there are any. Place the Balloonist's Seen reminder next to that character.",,"Seen Demon,Seen Minion,Seen Outsider,Seen Townsfolk,Seen Traveller"
