id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Acrobata,"Ogni notte*, se uno dei tuoi vicini vivi buoni è ubriaco o avvelenato, muori.",,"Se un vicino buono è ubriaco o avvelenato, l'Acrobata muore.",,Morto
alchemist,Alchimista,Hai l'abilità di uno Scagnozzo non in gioco.,Mostra all'Alchimista il gettone di uno Scagnozzo non in gioco.,,È l'Alchimista,
alhadikhia,Al-Hadikhia,"Ogni notte*, scegli 3 giocatori (tutti apprendono chi): ognuno sceglie silenziosamente se vivere o morire, ma se tutti vivono, tutti muoiono.",,"Al-Hadikha sceglie 3 giocatori. Annuncia il primo, sveglialo e annuisce per vivere o scuote la testa per morire, uccidi o resuscita di conseguenza, fagli chiudere gli occhi e annuncia il giocatore successivo. Se tutti e 3 sono vivi dopo ciò, tutti e 3 muoiono.",,"1,2,3,Scelto Morte,Scelto Vita"
amnesiac,Amnesico,"Non sai quale sia la tua abilità. Ogni giorno, prova a indovinare in privato quale sia: apprendi quanto ci sei andato vicino.",Decidi l'intera abilità dell'Amnesiaco. Se l'abilità dell'Amnesiaco lo fa svegliare di notte: Sveglia l'Amnesiaco ed esegui la sua abilità.,Se l'abilità dell'Amnesiaco lo fa svegliare di notte: Sveglia l'Amnesiaco ed esegui la sua abilità.,,?
angel,Angelo,Qualcosa di brutto potrebbe accadere per chi è responsabile della morte di un nuovo giocatore.,,,,"Protect,Something Bad"
apprentice,Apprendista,"Nella tua 1° notte, guadagni l'abitià di un Cittadino (se buono), o di uno Scagnozzo (se malvagio)-","Mostra all'Apprendista la carta ""Tu sei"" seguita dal gettone di un Cittadino o uno Scagnozzo. Nel Grimorio, rimpiazza il gettone dell'Apprendista con il gettone appena mostrato, e affiancaci il promemoria ""È l'Apprendista"".",,,È l'Apprendista
artist,Artista,"Una sola volta durante il gioco, di giorno, chiedi privatamente una domanda sì/no allo Storyteller.",,,,Nessuna Abilità
assassin,Assassino,"Una volta durante il gioco, di notte*, scegli un giocatore: muore, anche se per qualche ragione sopravvivrebbe.",,"Se l'Assassino non ha ancora usato la sua abilità: l'Assassino fa ""no"" con la testa, o indica un giocatore. Quel giocatore muore.",,"Morto,Nessuna Abilità"
atheist,Ateo,"Lo Storyteller può violare le regole del gioco & se giustiziato, il bene vince, anche se sei morto. [Nessun malvagio]",,,,
balloonist,Mongolfierista,"Ogni notte, apprendi 1 giocatore di ogni tipo di ruolo, finché non ci sono più tipologie da apprendere. [+1 Forestiero]",Scegli un tipo di personaggo. Indica un giocatore che è di quel tipo. Affiancagli il promemoria ""Visto"" di quel tipo.,Scegli un tipo di personaggo non ancora visto. Indica un giocatore che è di quel tipo. Affiancagli il promemoria ""Visto"" di quel tipo.,,"Visto Cittadino,Visto Demone,Visto Forestiero,Visto Scagnozzo,Visto Viaggiatore"
barber,Barbiere,"Se sei morto oggi o stanotte, il Demone può scegliere 2 giocatori (non un altro Demone) per scambiare i loro ruoli.",,"Se il Barbiere è morto oggi: sveglia il Demone. Mostra la carta ""Questo personaggio ti ha scelto"", seguito dal gettone del Barbiere. Il Demone fa ""no"" con la testa, oppure indica 2 giocatori: se li ha indicati, scambia i loro ruoli; sveglia entrambi i giocatori signolarmente e comunica il nuovo ruolo.",,Taglio Stanotte
barista,Barista,"Ogni notte, fino al tramonto, un giocatore: 1) Diventa sobrio, salubre e ottiene informazioni corrette, oppure 2) La sua abilità funziona due volte. Egli apprende quale delle due.","Scegli un giocatore, sveglialo e digli quale potere del Barista lo affligge. Trattalo di conseguenza (Sobrio/Salube/Informazione veritiera OPPURE Abilità doppia)or activate their ability twice).","Scegli un giocatore, sveglialo e digli quale potere del Barista lo affligge. Trattalo di conseguenza (Sobrio/Salube/Informazione veritiera OPPURE Abilità doppia)or activate their ability twice).",,"Abilità Doppia,Sobrio & Salubre"
baron,Barone,Ci sono Forestieri aggiuntivi in gioco. [+2 Forestieri],,,,
beggar,Mendicante,"Devi usare un gettone di voto per votare. I morti possono scegliere di darti il loro gettone. Se lo fanno, apprendi il loro allineamento. Sei sobrio & salubre.",,,,
bishop,Vescovo,Solo lo Storyteller può nominare. Almeno 1 giocatore di allineamento opposto al tuo dev'essere nominato ogni giorno.,,,,"Nominato Bene,Nominato Male"
bonecollector,Collezionista d'Ossa,"Una volta durante la partita, di notte, scegli un giocatore morto: riacquisisce la sua abilità fino al tramonto.",,"Il Collezionista d'ossa fa ""no"" con la testa o indica un giocatore morto: se ha puntato un giocatore, posiziona il gettone ""Ha abilità"" (Potrebbe essere svegliato di notte per usarla)",,"Ha Abilità,Nessuna Abilità"
boomdandy,Bombarolo,"Se vieni giustiziato, tutti tratte 3 giocatori muoiono. 1 minuto dopo, il giocatore con più dita puntate contro muore.",,,,
