id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Acrobat,"Each night*, if either good living neighbour is drunk or poisoned, you die.",,"If a good living neighbour is drunk or poisoned, the Acrobat player dies.",,Dead
alchemist,Alchemist,You have a not-in-play Minion ability.,Show the Alchemist a not-in-play Minion token,,Is the Alchemist,
alhadikhia,Al-Hadikhia,"Each night*, choose 3 players (all players learn who): each silently chooses to live or die, but if all live, all die.",,"The Al-Hadikhia chooses 3 players. Announce the first player, wake them to nod yes to live or shake head no to die, kill or resurrect accordingly, then put to sleep and announce the next player. If all 3 are alive after this, all 3 die.",,"1,2,3,Chose death,Chose life"
amnesiac,Amnesiac,"You do not know what your ability is. Each day, privately guess what it is: you learn how accurate you are.",Decide the Amnesiac's entire ability. If the Amnesiac's ability causes them to wake tonight: Wake the Amnesiac and run their ability.,If the Amnesiac's ability causes them to wake tonight: Wake the Amnesiac and run their ability.,,?
angel,天使,新人を死亡させた責任が最も重いプレイヤーに対し、何か悪いことが起こりえる。,,,,"Protect,Something Bad"
apprentice,見習い,最初の夜、あなたが善良ならいずれかの住民の能力を、邪悪ならいずれかの手下の能力を得る。,"Show the Apprentice the 'You are' card, then a Townsfolk or Minion token. In the Grimoire, replace the Apprentice token with that character token, and put the Apprentice's 'Is the Apprentice' reminder by that character token.",,,Is the Apprentice
artist,芸人,ゲーム中に1回、昼の間に、語り部に秘密裏に「はい」か「いいえ」で答えられる質問ができる。,,,,No ability
assassin,暗殺者,ゲーム中に1回、夜の間に(*)、プレイヤーを1人選ぶ。そのプレイヤーは、何らかの理由で死亡しないプレイヤーであっても死亡する。,,"If the Assassin has not yet used their ability: The Assassin either shows the 'no' head signal, or points to a player. That player dies.",,"Dead,No ability"
atheist,Atheist,"The Storyteller can break the game rules & if executed, good wins, even if you are dead [No evil characters]",,,,
balloonist,Balloonist,"Each night, you learn 1 player of each character type, until there are no more types to learn. [+1 Outsider]",Choose a character type. Point to a player whose character is of that type. Place the Balloonist's Seen reminder next to that character.,"Choose a character type that does not yet have a Seen reminder next to a character of that type. Point to a player whose character is of that type, if there are any. Place the Balloonist's Seen reminder next to that character.",,"Seen Demon,Seen Minion,Seen Outsider,Seen Townsfolk,Seen Traveller"
barber,床屋,あなたが死亡した場合、いずれかの悪魔はプレイヤーを2人選んでよい（もう1人の悪魔は不可）。そうしたなら、今夜その人物を入れ替える。,,"If the Barber died today: Wake the Demon. Show the 'This character selected you' card, then Barber token. The Demon either shows a 'no' head signal, or points to 2 players. If they chose players: Swap the character tokens. Wake each player. Show 'You are', then their new character token.",,Haircuts tonight
barista,バリスタ,毎夜、次の夕暮れまで、プレイヤー1人に対し、「そのプレイヤーをしらふで健康で正しい情報を得られる状態にする」か「そのプレイヤーの能力を2回機能させる」かを行う。そのプレイヤーはどちらなのかを知ることができる。,"Choose a player, wake them and tell them which Barista power is affecting them. Treat them accordingly (sober/healthy/true info or activate their ability twice).","Choose a player, wake them and tell them which Barista power is affecting them. Treat them accordingly (sober/healthy/true info or activate their ability twice).",,"Ability twice,Sober & Healthy"
baron,男爵,よそ者が2名追加される。〔よそ者＋2〕,,,,
beggar,物乞い,賛成するためには賛成トークンを1つ使う必要がある。死亡したプレイヤーは自分の賛成トークンをあなたに与えてよい。そうした場合、あなたはそのプレイヤーの所属を知ることができる。,,,,
bishop,僧正,告発は語り部のみが行うことができる。毎昼、僧正の的のプレイヤーを1人告発する義務がある。,,,,"Nominate evil,Nominate good"
bonecollector,骨拾い,ゲーム中に1回、夜の間に、死亡したプレイヤーを1人選ぶ。次の夕暮れまで、そのプレイヤーは自身の能力を取り戻す。,,"The Bone Collector either shakes their head no or points at any dead player. If they pointed at any dead player, put the Bone Collector's 'Has Ability' reminder by the chosen player's character token. (They may need to be woken tonight to use it.)",,"Has ability,No ability"
boomdandy,Boomdandy,"If you are executed, all but 3 players die. 1 minute later, the player with the most players pointing at them dies.",,,,
bountyhunter,Bounty Hunter,"You start knowing 1 evil player. If the player you know dies, you learn another evil player tonight. [1 Townsfolk is evil]",Point to 1 evil player. Wake the townsfolk who is evil and show them the 'You are' card and the thumbs down evil sign.,"If the known evil player has died, point to another evil player.",,Known
buddhist,仏教徒,毎昼、最初の2分間、このゲームに慣れているプレイヤーは会話できない。,,,,
bureaucrat,役人,毎夜、プレイヤーを1人選ぶ（自分は不可）。翌日、そのプレイヤーの賛成は3票に数える。,The Bureaucrat points to a player. Put the Bureaucrat's '3 votes' reminder by the chosen player's character token.,The Bureaucrat points to a player. Put the Bureaucrat's '3 votes' reminder by the chosen player's character token.,,3 votes
butcher,肉屋,毎昼、最初の処刑の後、あなたは再び告発する。,,,,
butler,執事,毎夜、プレイヤーを1人選ぶ（自分は不可）。翌日、その人物が賛成した場合にのみ自分は賛成できる。,The Butler points to a player. Mark that player as 'Master'.,The Butler points to a player. Mark that player as 'Master'.,,Master
cannibal,Cannibal,"You have the ability of the recently killed executee. If they are evil, you are poisoned until a good player dies by execution.",,,,"Died today,Poisoned"
cerenovus,セレノヴァス,毎夜、プレイヤー1人と善良な人物1人を選ぶ。翌日、そのプレイヤーはその人物であることに必死になるか、さもなくば処刑される可能性がある。,"The Cerenovus points to a player, then to a character on their sheet. Wake that player. Show the 'This character selected you' card, then the Cerenovus token. Show the selected character token. If the player is not mad about being that character tomorrow, they can be executed.","The Cerenovus points to a player, then to a character on their sheet. Wake that player. Show the 'This character selected you' card, then the Cerenovus token. Show the selected character token. If the player is not mad about being that character tomorrow, they can be executed.",,Mad
chambermaid,女中,毎夜、生き残っているプレイヤーを2人選ぶ（自分は不可）。そのうち何人が自身の能力のために今夜目覚めたかを知ることができる。,"The Chambermaid points to two players. Show the number signal (0, 1, 2, …) for how many of those players wake tonight for their ability.","The Chambermaid points to two players. Show the number signal (0, 1, 2, …) for how many of those players wake tonight for their ability.",,
chef,料理人,ゲーム開始時に邪悪なプレイヤーが何人いるかを知ることができる。,"Show the finger signal (0, 1, 2, …) for the number of pairs of neighbouring evil players.",,,
choirboy,Choirboy,"If the Demon kills the King, you learn which player is the Demon. [+ the King]",,"If the King was killed by the Demon, wake the Choirboy and point to the Demon player.",,
clockmaker,時計職人,ゲーム開始時に、悪魔から最も近い手下まで何人離れているかを知ることができる。,"Show the hand signal for the number (1, 2, 3, etc.) of places from Demon to closest Minion.",,,
courtier,ご機嫌取り,ゲーム中に1回、夜の間に、人物を1人選ぶ。そのプレイヤーは夜3日と昼3日の間、酔った状態になる。,"The Courtier either shows a 'no' head signal, or points to a character on the sheet. If the Courtier used their ability: If that character is in play, that player is drunk.","Reduce the remaining number of days the marked player is poisoned. If the Courtier has not yet used their ability: The Courtier either shows a 'no' head signal, or points to a character on the sheet. If the Courtier used their ability: If that character is in play, that player is drunk.",,"Drunk 1,Drunk 2,Drunk 3,No ability"
cultleader,Cult Leader,"Each night, you become the alignment of an alive neighbour. If all good players choose to join your cult, your team wins.","If the cult leader changed alignment, show them the thumbs up good signal of the thumbs down evil signal accordingly.","If the cult leader changed alignment, show them the thumbs up good signal of the thumbs down evil signal accordingly.",,
damsel,Damsel,"All Minions know you are in play. If a Minion publicly guesses you (once), your team loses.","Wake all the Minions, show them the 'This character selected you' card and the Damsel token.","If selected by the Huntsman, wake the Damsel, show 'You are' card and a not-in-play Townsfolk token.",,Guess used
deusexfiasco,Deus ex Fiasco,"Once per game, the Storyteller will make a ""mistake"", correct it and publicly admit to it.",,,,Whoops
deviant,変人,今日の昼の間に面白いことをしていたなら、あなたは追放されない。,,,,
devilsadvocate,悪魔の代弁者,毎夜、生き残っているプレイヤーを1人選ぶ（昨夜選んだプレイヤーは不可）。そのプレイヤーは、翌日に処刑されても死亡しない。,The Devil’s Advocate points to a living player. That player survives execution tomorrow.,"The Devil’s Advocate points to a living player, different from the previous night. That player survives execution tomorrow.",,Survives execution
djinn,ジン,不幸な人物が両方いる状態でない場合、それでも邪悪のプレイヤーはどちらがいないかはわからない。両方いる場合、ジンの「特殊ルール」を使用する。,,,,
doomsayer,破滅予言者,プレイヤーが4人以上生き残っている場合、生き残っている各プレイヤーは、ゲーム中に1回、全員の前で自分の所属のプレイヤー1人が死亡することを選んでよい。,,,,
dreamer,夢見人,毎夜、プレイヤーを1人選ぶ（自分は不可）。それが善良な人物1人か邪悪な人物1人のどちらかであることを知ることができる。,The Dreamer points to a player. Show 1 good and 1 evil character token; one of these is correct.,The Dreamer points to a player. Show 1 good and 1 evil character token; one of these is correct.,,
drunk,酔っ払い,自分が酔っ払いであることを知らない。自分はなんらかの住民だと思っているが、その能力は機能しない。,,,Drunk,
duchess,女侯爵,毎昼、3人のプレイヤーがあなたを訪れてよい。夜の間に(*)、各来訪者は来訪者のうち何人が邪悪か知ることができるが、そのうち1人は偽の情報を得る。,,,,"False Info,Visitor"
empath,霊媒,毎夜、あなたは隣のプレイヤー2人のうち何人が邪悪であるかを知ることができる。,"Show the finger signal (0, 1, 2) for the number of evil alive neighbours of the Empath.","Show the finger signal (0, 1, 2) for the number of evil neighbours.",,
engineer,Engineer,"Once per game, at night, choose which Minions or which Demon is in play.","The Engineer shows a 'no' head signal, or points to a Demon or points to the relevant number of Minions. If the Engineer chose characters, replace the Demon or Minions with the choices, then wake the relevant players and show them the You are card and the relevant character tokens.","The Engineer shows a 'no' head signal, or points to a Demon or points to the relevant number of Minions. If the Engineer chose characters, replace the Demon or Minions with the choices, then wake the relevant players and show them the 'You are' card and the relevant character tokens.",,No ability
eviltwin,邪悪な双子,あなたと敵側のプレイヤー1人は互いに相手を知っている。その善良なプレイヤーが処刑された場合、邪悪が勝利する。その両方が死亡した場合、善良な側は勝利できない。,Wake the Evil Twin and their twin. Confirm that they have acknowledged each other. Point to the Evil Twin. Show their Evil Twin token to the twin player. Point to the twin. Show their character token to the Evil Twin player.,,,Twin
