id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Lappyer,"Pub nos*, mars yw kentrevek bew mas po medhow po posnys, ty a verow.",,"If a good living neighbour is drunk or poisoned, the Acrobat player dies.",,Marow
alchemist,Alkemydh,Yma dhis gallos Servont heb-bos-y'n-gwari.,Show the Alchemist a not-in-play Minion token,,An Alkemydh yw,
alhadikhia,Al-Hadikia,"Pub nos*, choose 3 players (all players learn who): each silently chooses to live or die, but if all live, all die.",,"The Al-Hadikhia chooses 3 players. Announce the first player, wake them to nod yes to live or shake head no to die, kill or resurrect accordingly, then put to sleep and announce the next player. If all 3 are alive after this, all 3 die.",,"1,2,3,Bewnans dewisys,Mernans dewisys"
amnesiac,Kovgollor,"You do not know what your ability is. Pub jydh, privately guess what it is: you learn how accurate you are.",Decide the Amnesiac's entire ability. If the Amnesiac's ability causes them to wake tonight: Wake the Amnesiac and run their ability.,If the Amnesiac's ability causes them to wake tonight: Wake the Amnesiac and run their ability.,,?
angel,El,Something bad might happen to whoever is most responsible for the death of a new player.,,,,"Protect,Something Bad"
apprentice,Kynser,"On your 1st night, you gain a Townsfolk ability (if good), or a Minion ability (if evil).","Show the Apprentice the 'You are' card, then a Townsfolk or Minion token. In the Grimoire, replace the Apprentice token with that character token, and put the Apprentice's 'Is the Apprentice' reminder by that character token.",,,An Kynser yw
artist,Artydh,"Unweyth y'n gwari, during the day, privately ask the Storyteller any yes/no question.",,,,Heb gallos
assassin,Ladher,"Unweyth y'n gwari, at night*, choose a player: they die, even if for some reason they could not.",,"If the Assassin has not yet used their ability: The Assassin either shows the 'no' head signal, or points to a player. That player dies.",,"Heb gallos,Marow"
atheist,Didhuwydh,"The Storyteller can break the game rules & if executed, good wins, even if you are dead [No evil characters]",,,,
balloonist,Ayrydh,"Pub nos, you learn 1 player of each character type, until there are no more types to learn. [+1 Outsider]",Choose a character type. Point to a player whose character is of that type. Place the Balloonist's Seen reminder next to that character.,"Choose a character type that does not yet have a Seen reminder next to a character of that type. Point to a player whose character is of that type, if there are any. Place the Balloonist's Seen reminder next to that character.",,"Burjes gwelys,Estren gwelys,Jevan gwelys,Servont gwelys,Viajyer gwelys"
barber,Barver,"If you died today or tonight, the Demon may choose 2 players (not another Demon) to swap characters.",,"If the Barber died today: Wake the Demon. Show the 'This character selected you' card, then Barber token. The Demon either shows a 'no' head signal, or points to 2 players. If they chose players: Swap the character tokens. Wake each player. Show 'You are', then their new character token.",,Treghow gols haneth
barista,Barista,"Pub nos, until dusk, 1) a player becomes sober, healthy and gets true info, or 2) their ability works twice. They learn which.","Choose a player, wake them and tell them which Barista power is affecting them. Treat them accordingly (sober/healthy/true info or activate their ability twice).","Choose a player, wake them and tell them which Barista power is affecting them. Treat them accordingly (sober/healthy/true info or activate their ability twice).",,"Divedhow & Yagh,Gallos diwweyth"
baron,Baron,There are extra Outsiders in play. [+2 Outsiders],,,,
beggar,Beggyer,"You must use a vote token to vote. Dead players may choose to give you theirs. If so, you learn their alignment. You are sober & healthy.",,,,
bishop,Epskop,Only the Storyteller can nominate. At least 1 opposite player must be nominated each day.,,,,"Henwel mas,Henwel tebel"
bonecollector,Kunteller Eskern,"Unweyth y'n gwari, at night, choose a dead player: they regain their ability until dusk.",,"The Bone Collector either shakes their head no or points at any dead player. If they pointed at any dead player, put the Bone Collector's 'Has Ability' reminder by the chosen player's character token. (They may need to be woken tonight to use it.)",,"Gans gallos,Heb gallos"
boomdandy,Tardher,"If you are executed, all but 3 players die. 1 minute later, the player with the most players pointing at them dies.",,,,
bountyhunter,Helghyer,"You start knowing 1 evil player. If the player you know dies, you learn another evil player tonight. [1 Townsfolk is evil]",Point to 1 evil player. Wake the townsfolk who is evil and show them the 'You are' card and the thumbs down evil sign.,"If the known evil player has died, point to another evil player.",,Awonnys
buddhist,Bouddydh,"For the first 2 minutes of each day, veteran players may not talk.",,,,
bureaucrat,Burokrat,"Pub nos, choose a player (not yourself): their vote counts as 3 votes tomorrow.",The Bureaucrat points to a player. Put the Bureaucrat's '3 votes' reminder by the chosen player's character token.,The Bureaucrat points to a player. Put the Bureaucrat's '3 votes' reminder by the chosen player's character token.,,3 raglev
butcher,Kiger,"Pub jydh, after the 1st execution, you may nominate again.",,,,
