id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Acrobata,"A cada noite*, se algum de seus vizinhos bons vivos estiver bêbado ou envenenado, você morre.",,"Se algum dos vizinhos bons do Acrobata está bêbado ou envenenado, o Acrobata morre.",,Morto
alchemist,Alquimista,Você tem a habilidade de um Lacaio de fora do jogo.,Mostre ao Alquimista um token de um Lacaio que não esteja em jogo.,,é o Alquimista,
alhadikhia,Al-Hadikhia,"A cada noite*, escolha 3 jogadores (todos sabem os alvos): em silêncio, cada alvo decide se vive ou morre, mas se todos viverem, todos morrem.",,"O Al-Hadikhia escolhe 3 jogadores. Anuncie o primeiro jogador. Acorde-o para sinalizar 'sim' ou 'não' com a cabeça indicando se quer viver ou morrer respectivamente. Mate ou reviva comforme a escolha. Adormeça o jogador, anuncie o próximo alvo e repita o processo até ter passado por todos os 3 alvos. Após isso, se os 3 ainda vivem, todos os 3 morrem.",,"1,2,3,Morte,Vida"
amnesiac,Esquecido,"Você não sabe qual é a sua habilidade. A cada dia, visite o Narrador para tentar adivinhar a sua habilidade: você descobre o quão perto está da resposta.",Decida a habilidade do Esquecido. Se a habilidade do Esquecido faz com que ele acorde esta noite: Acorde o Esquecido e execute sua habilidade.,Se a habilidade do Esquecido faz com que ele acorde esta noite: Acorde o Esquecido e execute sua habilidade.,,?
angel,Anjo,Algo ruim pode acontecer com quem for o maior responsável pela morte de um jogador novato.,,,,"Protect,Something Bad"
apprentice,Aprendiz,"Na sua primeira noite, você ganha uma habilidade de Cidadão (se for bom), ou de Lacaio (se for mau).","Mostre ao Aprendiz o token 'Você é', e um token de Cidadão ou Lacaio. No Grimório, substitua o token do Aprendiz com o daquele personagem e coloque o lembrete 'É o Aprendiz' próximo a ele.",,,É o Aprendiz
artist,Artista,"Uma vez por jogo, durante o dia, em segredo, você pode fazer uma pergunta de 'sim ou não' para o Narrador.",,,,Sem habilidade
assassin,Assassino,"Uma vez por jogo, à noite*, você pode escolher um jogador: o alvo morre mesmo que, por alguma razão, não possa morrer.",,"Se o Assassino ainda não usou a habilidade: o Assassino pode sinalizar 'não' com a cabeça, ou escolher um jogador: o alvo morre, mesmo que algo impeça isso.",,"Morto,Sem habilidade"
atheist,Ateísta,"O Narrador pode quebrar as regras do jogo e, se executado, o bem vence, mesmo se você estiver morto. [Sem jogadores maus]",,,,
balloonist,Balonista,"A cada noite, você vê um jogador de um tipo diferente de personagem, até que tenha visto um jogador de cada tipo. [+1 Forasteiro]",Escolha um tipo de personagem. Aponte para um jogador cujo personagem é desse tipo. Coloque o lembrete 'Visto' do Balonista ao lado desse personagem.,"Escolha um tipo de personagem que você ainda não escolheu. Informe ao Balonista um jogador cujo personagem é desse tipo, se houver algum. Coloque o lembrete 'Visto' do Balonista ao lado desse personagem.",,"Cidadão Visto,Demônio Visto,Forasteiro Visto,Lacaio Visto,Viajante Visto"
