id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Акробат,"Каждой ночью*, если любой из ваших добрых живых соседей пьян или отравлен, вы умираете.",,"Если добрый живой сосед пьян или отравлен, Акробат умирает.",,Мертв
alchemist,Алхимик,"Вы владеете способностью Приспешника, который отсутствует в игре.","Покажите Алхимику жетон Приспешника, который отсутствует в игре.",,Алхимик,
alhadikhia,Аль-Адихия,"Каждой ночью*, выберите 3 игроков (все узнают, кто был выбран). Каждый из них молча выберет, жить или умереть. Если все трое остались живы, все трое умирают.",,"Аль-Адихия выбирает 3 игроков. Объявите первого игрока, разбудите его, чтобы он кивком показал ""жить"" или покачал головой ""умереть"". В зависимости от выбора отметьте его как живого или мертвого, усыпите и объявите следующего. Если все 3 после этого живы, все 3 умирают.",,"1,2,3,Выбрал жизнь,Выбрал смерть"
amnesiac,Амнезиак,"Вы не знаете, что у вас за способность. Каждый день тайно попробуйте ее угадать и узнаете, насколько точной была догадка.","Решите, как будет работать способность Амнезиака. Если этой ночью Амнезиак должен проснуться, разбудите его и приведите в действие его способность.","Если этой ночью Амнезиак должен проснуться, разбудите его и приведите в действие его способность.",,?
angel,Ангел,"Иногда с тем, кто внес наибольший вклад в гибель новичка, может случиться что-то плохое.",,,,"Protect,Something Bad"
apprentice,Подмастерье,Первой ночью вы получаете способность какого-либо Горожанина (если вы добрый) или Приспешника (если злой).,"Покажите Подмастерью карточку ""Вы являетесь"", затем жетон Горожанина или Приспешника. Замените жетон Подмастерья в гримуаре жетоном этой роли, а рядом поместите напоминающий жетон ""Подмастерье"".",,,Подмастерье
artist,Художник,"Один раз за игру днем можете тайно задать Рассказчику вопрос, подразумевающий ответ да/нет.",,,,Истрачено
assassin,Убийца,"Один раз за игру, ночью*, можете выбрать игрока. Этот игрок умрет, даже если по какой-то причине не должен был.",,Если Убийца еще не применял свою способность: Убийца качанием головы отказывается действовать или указывает на игрока. Тот игрок умирает.,,"Истрачено,Мертв"
atheist,Атеист,"Рассказчик волен нарушать правила. Если его казнить, добро побеждает. Способность в силе и после вашей смерти. [Злых ролей нет]",,,,
balloonist,Аэронавт,"Каждой ночью вы узнаете 1 игрока, принадлежащего к ранее не встреченному классу ролей, пока не кончатся классы. [+1 Изгой]","Выберите класс ролей. Укажите на игрока, чья роль принадлежит к этому классу. Положите рядом с этой ролью напоминающий жетон ""Видел _"".","Выберите класс ролей, роли в котором еще не были отмечены жетоном ""Видел _"". Укажите на игрока, чья роль принадлежит к этому классу, если такой имеется. Положите рядом с этой ролью напоминающий жетон ""Видел _"".",,"Видел Горожанина,Видел Демона,Видел Изгоя,Видел Приспешника,Видел Странника"
barber,Брадобрей,"Если вы умерли сегодня или этой ночью, Демон может ночью выбрать 2 игроков (но не другого Демона): эти игроки меняются ролями.",,"Если Брадобрей сегодня умер: разбудите Демона. Покажите ему карточку ""Этот персонаж выбрал вас"", а затем жетон Брадобрея. Демон либо качанием головы отказывается действовать, либо указывает на 2 игроков. Если Демон выбрал игроков, поменяйте их роли местами. Разбудите каждого из игроков по очереди, покажите им карточку ""Вы являетесь"", а затем жетон их новой роли.",,Стрижка ночью
barista,Бариста,"Каждой ночью, до следующего заката, 1) один из игроков становится трезвым, здоровым и получает только верную информацию, или 2) способность одного из игроков срабатывает дважды. Этот игрок узнает, какой из бонусов он получил.","Выберите игрока, разбудите его и сообщите, какой из эффектов Баристы на него действует. Ведите себя с ним соответствующе (трезв/здоров/верная информация или применить способность дважды).","Выберите игрока, разбудите его и сообщите, какой из эффектов Баристы на него действует. Ведите себя с ним соответствующе (трезв/здоров/верная информация или применить способность дважды).",,"Способность дважды,Трезв и здоров"
baron,Барон,В игре имеются лишние Изгои. [+2 Изгоя],,,,
beggar,Нищий,"Вы должны потратить жетон голоса, чтобы голосовать. Мертвые игроки могут отдать вам свои жетоны голоса. Вы узнаете сторону того, кто это сделает.",,,,
bishop,Епископ,"Выдвигать игроков может только Рассказчик. Каждый день должен быть выдвинут хотя бы 1 игрок из команды, противоположной вашей.",,,,"Выдвинуть доброго,Выдвинуть злого"
bonecollector,Коллекционер костей,"Один раз за игру, ночью, можете выбрать мертвого игрока. Этот игрок получает свою способность назад до следующего заката.",,"Коллекционер костей либо качанием головы отказывается действовать, либо указывает на любого мертвого игрока. Если он выбрал игрока, положите рядом с жетоном выбранного игрока напоминающий жетон ""Имеет способность"". (Вероятно, этой ночью его нужно будет разбудить, чтобы воспользоваться ею).",,"Имеет способность,Истрачено"
boomdandy,Подрывник,"Если вас казнят, умирают все, кроме 3 игроков. Минуту спустя умрет тот игрок, на кого указывает большинство игроков.",,,,
bountyhunter,Охотник за головами,"Вы начинаете игру, зная 1 злого игрока. Если этот игрок умирает, ночью вы узнаете нового злого игрока. [1 Горожанин - злой]","Укажите на 1 злого игрока. Разбудите злого Горожанина, покажите ему карточку ""Вы являетесь"" и жест, обозначающий зло (палец вниз).","Если известный Охотнику за головами злой игрок умер, укажите на другого злого игрока.",,Известен
buddhist,Буддист,В течение первых 2 минут каждого дня опытным игрокам запрещено разговаривать.,,,,
bureaucrat,Бюрократ,Каждой ночью выберите игрока (кроме себя): его голос завтра засчитывается трижды.,Бюрократ указывает на игрока. Положите рядом с жетоном роли выбранного игрока напоминающий жетон ""3 голоса"".,Бюрократ указывает на игрока. Положите рядом с жетоном роли выбранного игрока напоминающий жетон ""3 голоса"".,,3 голоса
butcher,Мясник,Каждый день после первой казни вы можете выдвинуть кого-либо еще раз.,,,,
butler,Дворецкий,"Каждой ночью выберите игрока (кроме себя): завтра вы можете голосовать только тогда, когда голосует он.",Дворецкий указывает на игрока. Отметьте этого игрока жетоном ""Хозяин"",Дворецкий указывает на игрока. Отметьте этого игрока жетоном ""Хозяин"",,Хозяин
cannibal,Людоед,"Вы владеете способностью игрока, который был убит на казни последним. Если он был злой, то вы отравлены, пока не будет убит на казни добрый игрок.",,,,"Отравлен,Умер сегодня"
cerenovus,Цереновус,"Каждой ночью выберите игрока и добрую роль: завтра этот игрок иногда может быть казнен, если не будет ""помешан"" на том, что является этой ролью.","Цереновус указывает на игрока, а затем на роль в списке. Разбудите этого игрока и покажите ему табличку ""Этот персонаж выбрал вас"", затем жетон Цереновуса, затем жетон выбранной роли. Если назавтра этот игрок не будет помешан на том, что является этой ролью, вы можете его казнить.","Цереновус указывает на игрока, а затем на роль в списке. Разбудите этого игрока и покажите ему табличку ""Этот персонаж выбрал вас"", затем жетон Цереновуса, затем жетон выбранной роли. Если назавтра этот игрок не будет помешан на том, что является этой ролью, вы можете его казнить.",,Помешан
chambermaid,Горничная,"Каждой ночью выберите 2 живых игроков (кроме себя): вы узнаете, сколько из них проснулось этой ночью в результате действия своей способности.","Горничная указывает на двух игроков. Покажите число (0, 1, 2...), равное количеству игроков среди этих двух, которые этой ночью проснулись благодаря своей способности.","Горничная указывает на двух игроков. Покажите число (0, 1, 2...), равное количеству игроков среди этих двух, которые этой ночью проснулись благодаря своей способности.",,
chef,Повар,"Вы начинаете игру, зная количество пар сидящих рядом друг с другом злых игроков.","Покажите число (0, 1, 2, ...), равное количеству пар сидящих рядом друг с другом злых игроков.",,,
choirboy,Служка,"Если Демон убил Короля, вы узнаете, кто из игроков - Демон. [+Король]",,"Если Король был убит Демоном, разбудите Служку и укажите на игрока-Демона.",,
clockmaker,Часовщик,"Вы начинаете игру, зная, сколько шагов от Демона до ближайшего к нему Приспешника.","Покажите число (1, 2, 3, ...), равное количеству шагов от Демона до ближайшего Приспешника.",,,
