id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,杂技演员,每个夜晚*，如果你左右两侧最近的存活善良玩家都处于醉酒或中毒状态，你会死亡。,,如果杂技演员左右两侧最近的存活善良玩家均中毒或醉酒，杂技演员死亡。,,死亡
alchemist,炼金术士,在你的首个夜晚，你会获得一个不在场的爪牙的能力。,展示给炼金术士一个不在场的角色标记。,,炼金术士,
alhadikhia,血肉囚笼/哈迪寂亚,每个夜晚*，按顺序选择三名玩家（所有玩家都会依次得知有哪些人被选择了）：被选择的每个玩家独自决定活着或死去。如果三名玩家都选择了活着，那么这三名玩家都会死去。,,囚徒末路选择三名玩家。对所有人宣告第一位玩家，然后唤醒他并让他选择活着还是死去。依次对第二第三位玩家如此做。如果三名玩家都选择活着，他们都死去。,,"1，2，3，选择死,选择活"
amnesiac,失忆者,你不知道你有什么能力，但你的能力仍然会照常生效。你的能力可能会超出现有角色的能力范围。每个白天，你可以私下询问说书人关于你能力的一个是非问题。,决定失忆者的能力。如果失忆者的能力会让他在今晚醒来：唤醒他并执行其能力。,如果失忆者的能力会让他在今晚醒来：唤醒他并执行其能力。,,"失忆,已询问"
angel,天使,如果一名新手玩家即将死亡，可能会有糟糕的事情发生在造成其死亡责任最大的玩家身上。,,,,"Protect,Something Bad"
apprentice,学徒,在你加入游戏后的第一个夜晚，你获得一个村民/爪牙的能力（如果你属于善良/邪恶阵营）。,对学徒展示一个村民或爪牙标记。在魔法书中，用那个角色标记代替学徒标记，并在一旁标识该玩家是学徒。,,,是学徒
artist,艺术家,每局游戏限一次，在白天时，你可以私下询问说书人一个是非问题。,,,,失去能力
assassin,刺客,每局游戏限一次，在夜晚*，选择一名玩家：无视任何会让该玩家不死的效果，杀死该玩家。,,如果刺客还未使用能力：刺客要么选择不使用，要么指向一名玩家。如果刺客选择了玩家：那名玩家死亡。,,"失去能力,死亡"
atheist,无神论者,在游戏设置时场上没有邪恶角色，在本局游戏中说书人可以打破游戏规则。当说书人被处决时，所有玩家获胜，即使你已醉酒、中毒或死亡。,,,,
balloonist,气球驾驶员,每个夜晚，你会得知一个不同角色类型（村民/外来者/爪牙/恶魔/旅行者）的玩家，直到在场的每种角色类型都有一名玩家被告知与你。（+1外来者）,选择一种角色类型，并告知其一个符合该类型的玩家。在该玩家旁边标记已被知晓。,选择一种尚未被气球驾驶员知晓的角色类型，并告知其一个符合该类型的玩家。在该玩家旁边标记已被知晓。如果所有类型均已被知晓或无该种类型，气球驾驶员不会醒来。,,"知晓外来者,知晓村民"
barber,理发师,如果你死亡，恶魔可以在当晚交换任意两名玩家的角色（但不会交换阵营），不能选择其他恶魔参与本次交换。,,如果理发师今天死了，唤醒恶魔，告诉他理发师死了。恶魔可以选择不使用理发师能力，或选择两名玩家：交换这两名玩家的角色标记。然后依次唤醒两名玩家，并对他们展示各自的新角色标记，告诉他们变成了这个角色但不告诉原因。,,今晚理发
barista,咖啡师,每个夜晚，会触发如下效果中的一个，持续到下个黄昏：1）一名玩家免疫醉酒、中毒且会获得正确信息；或2）一名玩家的技能生效两次。那名玩家会得知触发了哪一项。,说书人选择一名玩家唤醒，并告诉他触发了咖啡师的什么效果。,说书人选择一名玩家唤醒，并告诉他触发了咖啡师的什么效果。,,"咖啡提神,生效两次"
baron,男爵,场上初始配置时会有额外两名外来者。（并减少两名村民）,,,,
beggar,乞丐,你只能使用死者的一次性投票机会参与投票。如果一名死者将其投票机会给你，你会得知该玩家的阵营。你不会醉酒和中毒。,,,,
bishop,主教,只有说书人可以提名。每个白天至少会有一名与你阵营对立的玩家会被提名。,,,,"坏人被提名,好人被提名"
bonecollector,集骨者,每局游戏限一次，夜晚时*，你可以选择一名已经死亡的玩家，那名玩家会再次获得自己的能力，持续到下一个黄昏。,,集骨者选择不使用能力，或指向一名死亡玩家。放置具有能力标记提示，并且该玩家当晚可能会因此醒来并使用能力。,,"具有能力,失去能力"
boomdandy,炸弹狂,如果你被处决，除三名玩家外的所有玩家都会死亡。在这之后的一分钟后，说书人会宣布投票，所有玩家需要用手指指向一名玩家。存活玩家中被指向次数最多的那位玩家死亡。,,,,
bountyhunter,赏金猎人,在你的首个夜晚，你会得知一名邪恶玩家。如果那名玩家死亡，你会在当晚再得知另一名邪恶玩家。（会有一名村民是邪恶的）,指向一名邪恶玩家。随后唤醒那名邪恶村民并告知他变成了邪恶阵营。,如果知晓的邪恶玩家死亡，指向另一名邪恶玩家。,,"变得邪恶,知晓"
buddhist,活佛,在每个白天的第一轮发言或自由发言的前两分钟内，老手玩家不能发言。,,,,
bureaucrat,官员,每个夜晚，选择一名除自己外的玩家：那名玩家明天白天的投票被视为3票。,官员指向一名玩家。将三票标记放在那名玩家旁。,官员指向一名玩家。将三票标记放在那名玩家旁。,,三票
butcher,屠夫,每个白天，在第一次成功处决后，你可以再次提名。,,,,
butler,管家,每个夜晚，选择一名除自己外的玩家：明天你只能在那名玩家参与投票的处决中投票。,管家指向一名玩家。标记那名玩家为主人。,管家指向一名玩家。标记那名玩家为主人。,,主人
cannibal,食人族,你具有最近被处决的那名玩家的角色能力（你并不知道那是什么，但能力会正常生效）。如果那名玩家是邪恶阵营的，你会中毒直到一名善良阵营的玩家被处决。,,,,"中毒,刚吃的"
cerenovus,洗脑师,每个夜晚，选择一名玩家和一个善良角色：那名玩家明天必须表现得像这个角色，否则可能会被处决。,洗脑师指向一名玩家和一个剧本列表上的角色。唤醒那名玩家，告知他被洗脑师选中，告知他被洗脑成的角色是什么。如果这名玩家明天白天表现得不像这个角色，那么你可以处决他。,洗脑师指向一名玩家和一个剧本列表上的角色。唤醒那名玩家，告知他被洗脑师选中，告知他被洗脑成的角色是什么。如果这名玩家明天白天表现得不像这个角色，那么你可以处决他。,,被洗脑
chambermaid,侍女,每个夜晚，选择除自己以外的两名存活玩家：你会得知在这两名玩家中，因自身能力在今夜醒来的总玩家数。,侍女指向两名玩家。告诉她这些玩家的能力在今晚唤醒了玩家几次(0，1，2)。,侍女指向两名玩家。告诉她这些玩家的能力在今晚唤醒了玩家几次(0，1，2)。,,
chef,厨师,在你的首个夜晚，你会得知有多少对邪恶玩家为邻座。,告知有多少邪恶玩家为邻座(0，1，2)。,,,
choirboy,唱诗班男童,如果恶魔杀死了国王，你会得知谁是恶魔。（+国王）,,如果国王被恶魔杀死，将唱诗班男童唤醒并告诉他谁是恶魔。,,
clockmaker,钟表匠,在你的首个夜晚，你会得知恶魔与其最近的爪牙之间有多少名玩家。,告诉钟表匠恶魔和离他最近的爪牙相隔多少个玩家(0，1，2等等)。,,,
courtier,侍臣,每局游戏限一次，在夜晚时，从剧本角色列表选择一个角色。如果那个角色在场，其对应玩家会从今夜开始醉三天三夜。,侍臣要么选择不使用，要么指向剧本列表上的一个角色：如果那个角色在场，对应的玩家会醉酒。,减少醉酒玩家的醉酒持续时间。如果侍臣还未使用能力：侍臣要么选择不使用，要么指向剧本列表上的一个角色：如果那个角色在场，对应的玩家会醉酒。,,"失去能力,醉酒3天"
cultleader,异教头目,每个夜晚，你会变成你左右两侧最邻近的存活玩家之一的阵营。每个白天，你可以发起一次入团投票，如果所有善良阵营的玩家选择加入你的教团，你的阵营获胜。,如果异教头目改变了阵营，告诉他。,如果异教头目改变了阵营，告诉他。,,同一阵营
