id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,雜技演員,"每天晚上*, 如果你的其中一位好人鄰居醉酒或中毒, 則你死亡.",,"如果雜技演員玩家的其中一位好人鄰居醉酒或中毒, 雜技演員死亡.",,死亡
alchemist,煉金術士,你擁有一位不在遊戲內的僕從的能力.,將一個不在遊戲內的僕從角色卡展示給煉金術士玩家.,,是煉金術士,
alhadikhia,哈迪基亞,"每天晚上*, 選擇 3 位玩家 (所有玩家都知道是誰): 他們各自私下選擇 ""活著"" 或 ""死亡"", 但是如果他們""最後都活著"", 則他們都死亡.",,"哈迪基亞玩家選擇 3 位玩家. 要求玩家們沉默並且根據選擇的順序, 宣布 ""哈迪基亞選擇了 [第一位玩家]"", 喚醒該玩家, 讓他點頭表示活著, 搖頭表示死亡, 根據結果操作魔典, 殺死或復活他, 請該玩家閉上眼睛, 然後宣布下一位玩家. 完成之後如果三位玩家都活著, 則三位都死亡. 允許玩家們繼續交談.",,"1,2,3,選擇""死亡"",選擇""活著"""
amnesiac,失憶症,"你不知道你擁有的能力. 每天白天, 私下猜測你的能力: 你得知你的猜測有多準確.",決定失憶症玩家的真實能力. 如果此能力使他在今晚醒來: 喚醒失憶症玩家並且進行他的能力.,如果失憶症玩家的能力使他在今晚醒來: 喚醒他並且進行他的能力.,,?
angel,天使,任何需要對新玩家的死亡負最大責任的玩家可能會受到懲罰.,,,,
apprentice,學徒,"在你的第一晚, 你得到一個鎮民的能力 (如果你是好人隊伍), 或一個僕從的能力 (如果你是邪惡隊伍).","將 ""你是"" 卡片 + 一個鎮民或僕從的角色卡展示給學徒玩家. 將學徒角色卡換成那個角色的角色卡, 然後以 ""是學徒"" 標記他.",,,是學徒
artist,藝術家,"每場遊戲一次, 白天時, 私下問Storyteller任何一個yes/no問題.",,,,無能力
assassin,刺客,"每場遊戲一次, 晚上時*, 選擇 1 位玩家: 該玩家死亡, 儘管有某些原因導致他們不能死.",,"讓刺客玩家搖頭表示不行動, 或指向一位玩家. 該玩家死亡.",,"死亡,無能力"
atheist,無神論者,"Storyteller可以破壞遊戲規則, 而如果他被處決, 則好人隊伍獲勝 (儘管你死亡) [沒有邪惡的角色]",,,,
balloonist,氣球飛行員,"每天晚上, 你得知每種角色類別的一位玩家, 直到你已得知所有類別. [+1 城外人]",選擇一個角色類別. 指向一個為該類別的玩家. 以 ""已得知"" 標記該玩家.,"選擇一個旁邊還沒放置 ""已得知"" 標記的角色類別. 有選擇到的話, 指向一個為該類別的玩家. 以 ""已得知"" 標記該玩家.",,"已得知(鎮民),已得知(城外人),已得知(僕從),已得知(惡魔),已得知(旅行者)"
barber,理髮師,"如果你在今天或今晚死亡, 惡魔可以選擇 2 位玩家 (非另一位惡魔) 交換角色.",,"如果理髮師在今天死亡: 喚醒惡魔. 展示 ""這個角色選擇你"" 卡片 + 理髮師角色卡. 讓惡魔搖頭表示不行動, 或指向兩位玩家. 如果惡魔有選擇玩家: 交換他們的角色牌. 分別喚醒他們. 並展示 ""你是"" + 他們的新角色卡.",,今晚剪頭髮
barista,咖啡師,"每天晚上, 直到隔天黃昏, 隨機發生 1) 一位玩家變得清醒及健康, 得到正確的資訊, 或者 2) 該玩家的能力觸發兩次. 受到影響的玩家得知是哪種效果.","選擇 1 位玩家, 喚醒該玩家並告知他們哪一種咖啡師的效果作用於他們身上. (清醒&健康/能力x2).","選擇 1 位玩家, 喚醒該玩家並告知他們哪一種咖啡師的效果作用於他們身上. (清醒&健康/能力x2).",,"清醒&健康,能力x2"
baron,男爵,遊戲中具有額外的城外人. [+2 城外人],,,,
beggar,乞丐,"你需要使用投票代幣投票, 死去的玩家可以將自己的代幣給你, 若如此, 你得知該玩家的隊伍.",,,,
bishop,主教,"只有Storyteller可以提名, 每天必須至少提名一位與你不同隊伍的玩家.",,,,"提名好人,提名邪惡"
bonecollector,收骨人,"每場遊戲一次, 晚上時, 選擇 1 位死亡的玩家: 該玩家恢復自己的能力直到隔天黃昏.",,"收骨人玩家搖頭表示不行動, 或指向任意死亡的玩家. 如果他有選擇玩家, 以 ""具有能力"" 標記該玩家. (該玩家今晚可能需要被喚醒以使用能力)",,"無能力,具有能力"
boomdandy,炸彈客,"如果你被處決, 除了三位玩家之外的所有玩家死亡. 一分鐘過後, 被最多位玩家的手指向的玩家死亡.",,,,
