id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
acrobat,Akrobat,"Jede Nacht*, wenn einer deiner guten lebenden Nachbarn vergiftet oder betrunken ist, stribst du.",,"If a good living neighbour is drunk or poisoned, the Acrobat player dies.",,Dead
alchemist,Alchemist,"Du hast die Fähigkeit eines Untergebenen, der nicht im Spiel ist.",Show the Alchemist a not-in-play Minion token,,Is the Alchemist,
alhadikhia,Al-Hadikhia,"Jede Nacht*, wähle 3 Spieler (alle Spieler erfahren, wer): jeder wählt leise, ob er leben oder sterben möchte, aber wenn alle leben, sterben alle.",,"The Al-Hadikhia chooses 3 players. Announce the first player, wake them to nod yes to live or shake head no to die, kill or resurrect accordingly, then put to sleep and announce the next player. If all 3 are alive after this, all 3 die.",,"1,2,3,Chose death,Chose life"
amnesiac,Amnesiker,"Du kennst deine Fähigkeit nicht. Jeden Tag, versuche, sie privat zu erraten: du erfährst, wie richtig du liegst.",Decide the Amnesiac's entire ability. If the Amnesiac's ability causes them to wake tonight: Wake the Amnesiac and run their ability.,If the Amnesiac's ability causes them to wake tonight: Wake the Amnesiac and run their ability.,,?
apprentice,Apprentice,"On your 1st night, you gain a Townsfolk ability (if good), or a Minion ability (if evil).","Show the Apprentice the 'You are' card, then a Townsfolk or Minion token. In the Grimoire, replace the Apprentice token with that character token, and put the Apprentice's 'Is the Apprentice' reminder by that character token.",,,Is the Apprentice
artist,Künstlerin,"Einmal pro Spiel, am Tag, stelle dem Erzähler privat 1 beliebge Ja/Nein-Frage.",,,,No ability
assassin,Assassine,"Einmal pro Spiel, in der Nacht*, wähle 1 Spieler: der Spieler stirbt, auch wenn er eigentlich aus irgendeinem Grund überleben sollte.",,"If the Assassin has not yet used their ability: The Assassin either shows the 'no' head signal, or points to a player. That player dies.",,"Dead,No ability"
atheist,Atheist,"Der Erzähler kann die Spielregeln brechen & wenn er hingerichtet wird, gewinnt das gute Team, sogar wenn du tot bist. [Keine böse Spieler]",,,,
balloonist,Ballonfahrer,"Du erfährst jede Nacht 1 Spieler eines anderen Charaktertyps, bis keine übrig bleiben. [+1 Außenseiter]",Choose a character type. Point to a player whose character is of that type. Place the Balloonist's Seen reminder next to that character.,"Choose a character type that does not yet have a Seen reminder next to a character of that type. Point to a player whose character is of that type, if there are any. Place the Balloonist's Seen reminder next to that character.",,"Seen Townsfolk,Seen Outsider,Seen Minion,Seen Demon,Seen Traveller"
barber,Friseur,"Wenn du am Tag oder diese Nacht gestorben bist, kann der Dämon 2 Spieler wählen (nicht einen anderen Dämon), welche Charaktere tauschen.",,"If the Barber died today: Wake the Demon. Show the 'This character selected you' card, then Barber token. The Demon either shows a 'no' head signal, or points to 2 players. If they chose players: Swap the character tokens. Wake each player. Show 'You are', then their new character token.",,Haircuts tonight
barista,Barista,"Each night, until dusk, 1) a player becomes sober, healthy and gets true info, or 2) their ability works twice. They learn which.","Choose a player, wake them and tell them which Barista power is affecting them. Treat them accordingly (sober/healthy/true info or activate their ability twice).","Choose a player, wake them and tell them which Barista power is affecting them. Treat them accordingly (sober/healthy/true info or activate their ability twice).",,"Sober & Healthy,Ability twice"
baron,Baron,Es sind zusätzliche Außenseiter im Spiel. [+2 Außenseiter],,,,
beggar,Beggar,"You must use a vote token to vote. Dead players may choose to give you theirs. If so, you learn their alignment.",,,,
bishop,Bishop,Only the Storyteller can nominate. At least 1 opposite player must be nominated each day.,,,,"Nominate good,Nominate evil"
bonecollector,Bone Collector,"Once per game, at night, choose a dead player: they regain their ability until dusk.",,"The Bone Collector either shakes their head no or points at any dead player. If they pointed at any dead player, put the Bone Collector's 'Has Ability' reminder by the chosen player's character token. (They may need to be woken tonight to use it.)",,"No ability,Has ability"
boomdandy,Pulverstenz,"Wenn du hingerichtet wirst, sterben alle Spieler mit Ausnahme von 3. 1 Minute später stirbt der Spieler, auf den die meisten Spieler zeigen.",,,,
